id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,0.227788911,0,0.68,0,0.052631579,0,0.080645161,0.555555556,0.9,0.142857143,0.1,0.010204082,0.170894526,0.391703406,0.285714286,0.388888889,0.944444444,0,0,1,1
1,0.347361389,1,0,1,0,1,0.822580645,0.666666667,0.466666667,0.285714286,0.3,0.461734694,0.993324433,0.467317018,0.857142857,0.166666667,0.277777778,1,1,0,2
2,0.041416166,1,0,1,0.105263158,1,0.629032258,0.888888889,0.541666667,0.571428571,0.3,0.644387755,0.811748999,0.441497736,0.428571429,0.111111111,0.388888889,1,1,0,2
3,0.076152305,1,0.8,0,0,0,0.129032258,0.777777778,0.425,0.714285714,0.45,0.620408163,0.858477971,0.594569194,0.785714286,0.444444444,0.5,1,0,0,2
4,0.881763527,1,0.28,0,0.684210526,1,0.677419355,0.555555556,0.508333333,0.142857143,0.7,0.616326531,0.475300401,-0.657665987,0.214285714,0.111111111,0.722222222,1,1,0,1
5,0.907147629,0,0,1,0.157894737,0,0.322580645,0.666666667,0.7,0,0.35,0.512244898,0.770360481,-0.97487431,0.857142857,0.055555556,0.444444444,1,0,0,1
6,0.881763527,0,0.48,0,0.210526316,1,0.129032258,0.777777778,0.491666667,1,0.5,0.194387755,0.345794393,1.010444059,0.571428571,0.444444444,0.888888889,1,0,1,3
7,0.970607882,0,0,1,0,0,0.35483871,0.777777778,0.891666667,0.428571429,0,0.26122449,0.433244326,-1.313291329,0.785714286,0.166666667,0.166666667,1,1,1,0
8,0.630594522,1,0,0,0,0,0.822580645,0.666666667,0.783333333,0.857142857,0.7,0.196938776,0.224299065,-0.945366559,0.857142857,0.055555556,1,1,0,0,0
9,0.005344021,1,0.04,1,0.105263158,1,0.112903226,0,0.108333333,0.571428571,0.75,0.580102041,0.483311081,-1.485727248,1,0.555555556,0.555555556,1,0,0,0
10,0.179024716,1,0.96,1,0,0,0.112903226,0,0.85,0.571428571,0.05,0.126530612,0.249666222,1.679901159,0,0.111111111,0.277777778,0,0,0,3
11,0.680694723,1,0.68,0,0.263157895,1,0.5,0.444444444,0.808333333,1,0.9,0.077040816,0.337116155,1.569247093,0.642857143,0.5,0.611111111,1,1,1,3
12,0.877755511,0,0.92,0,0.105263158,0,0.5,0.555555556,0.658333333,0.428571429,0.85,0.309693878,0.165554072,-0.592195665,0.928571429,0,0,1,0,0,1
13,0.201736807,1,0.64,0,0.368421053,0,0.241935484,1,0.983333333,0.428571429,0.55,0.175510204,0.627503338,0.512500762,0.142857143,0.055555556,0.111111111,1,0,1,2
14,0.911823647,0,0,0,0.684210526,1,0.806451613,0.666666667,0.875,0,0.85,0.181632653,0.042056075,-1.614823659,0.642857143,0.5,0.055555556,1,0,1,0
15,0.183032732,0,0.2,0,0.157894737,0,0.709677419,0.666666667,0.658333333,0.142857143,0.8,0.439795918,0.910547397,-1.435010801,0.857142857,0.833333333,0.5,1,1,1,0
16,0.2251169,0,0,0,0.052631579,1,0.177419355,0,0.966666667,1,0.2,0.502040816,0.901201602,1.31843121,0.357142857,0.5,0.944444444,1,0,1,3
17,0.062792251,0,0.16,1,0.368421053,1,0.338709677,0,0.341666667,0.285714286,0.85,0.225,0.20694259,1.501010419,0.357142857,0.111111111,0.888888889,1,1,0,3
18,0.420841683,1,0,1,0.578947368,0,0.758064516,0.555555556,0.175,0.571428571,0.9,0.335714286,0.252336449,-0.266688287,1,0.722222222,0.777777778,1,1,0,1
19,0.120908484,1,0,0,0.210526316,0,0.274193548,1,0.341666667,0.428571429,0.55,0.460204082,0.376502003,0.196214556,0.428571429,0.055555556,0.888888889,0,1,1,1
20,0.181028724,0,0.24,1,0.631578947,0,0.596774194,0.777777778,0.008333333,0.857142857,0.7,0.670408163,0.903871829,0.640675055,0.857142857,0.833333333,0.055555556,1,1,0,3
21,0.806947228,1,0.64,0,0.052631579,0,0.177419355,1,0.633333333,0.142857143,0.1,0.496938776,0.590787717,1.068537444,0.857142857,0.055555556,0.722222222,1,0,0,3
22,0.967267869,0,0.84,1,0.210526316,0,0.725806452,0.222222222,0.991666667,0.428571429,0.35,0.207653061,0.214953271,-0.637379408,0.428571429,0.277777778,1,0,0,1,1
23,0.735470942,1,0.92,1,0.210526316,1,0.580645161,0.666666667,0.283333333,0.285714286,1,0.237755102,0.192256342,-1.002537826,0.214285714,0.388888889,1,1,0,0,0
24,0.001336005,0,0.28,1,0.263157895,1,0.096774194,0.333333333,0.258333333,0.285714286,0.65,0.10255102,0.497329773,0.423055392,0.428571429,0,0.555555556,1,0,0,1
25,0.307281229,1,0.36,1,0,1,0.887096774,0.555555556,0.283333333,1,0.15,0.148469388,0.623497997,0.606556718,0.928571429,0.5,0.277777778,1,1,1,2
26,0.012024048,1,0.44,1,0.368421053,1,0.790322581,0.222222222,0.433333333,0.428571429,0.95,0.280612245,0.096795728,1.511153709,0.785714286,0.055555556,0.111111111,1,0,1,3
27,0.303941216,0,0,0,0.052631579,1,0.629032258,1,0.525,0.857142857,0.3,0.260714286,0.383845127,1.071303796,0.857142857,0.444444444,0.555555556,1,1,0,3
28,0.635938544,0,0.44,1,0.631578947,1,0.806451613,0.222222222,0.133333333,0.142857143,0.9,0.095408163,0.541388518,0.229410776,0.357142857,0.055555556,0.444444444,1,1,1,2
29,0.233800935,0,0,0,0.157894737,0,0.306451613,0.333333333,1,0.571428571,0.35,0.59744898,0.509345794,-1.518001351,0.5,0.388888889,0.444444444,1,0,1,0
30,0.72010688,1,0,1,0,0,0.048387097,0.111111111,0.066666667,0.857142857,0.45,0.692857143,0.827102804,1.298144631,0.857142857,0.611111111,0.555555556,0,0,1,3
31,0.712758851,1,0,0,0.842105263,0,0.5,1,0.583333333,1,1,0.210714286,0.102803738,-1.490337834,0,0.055555556,0.222222222,1,1,1,0
32,0.546426186,1,0.16,0,0.157894737,1,0.629032258,0.888888889,0.225,0,0.9,0.043367347,0.435246996,0.094781662,0.928571429,0.277777778,0.055555556,1,1,1,1
33,0.540414162,1,0.68,1,0,1,0.790322581,0.555555556,0.166666667,0.428571429,0,0.090816327,0.947263017,1.58676732,0.142857143,0,0.555555556,1,1,0,3
34,0.095524382,1,0.88,0,0,0,0.322580645,0.666666667,0.641666667,1,0.15,0.158673469,0.254339119,-0.795061452,0.5,0.055555556,0.722222222,1,0,0,0
35,0.149632599,0,0.32,1,0.842105263,0,0.935483871,0.333333333,0.666666667,1,0.85,0.578571429,0.5,-0.736045951,0.357142857,0.222222222,0.722222222,1,0,0,1
36,0.058784235,1,0.72,1,0.052631579,0,0.951612903,0.555555556,0.666666667,0.428571429,0.5,0.218877551,0.210280374,-0.0103397,0.571428571,0.388888889,0,1,0,1,1
37,0.817635271,1,0.44,1,0.315789474,1,0.064516129,0.444444444,0.325,0.142857143,0.9,0.310714286,0.538718291,1.203166558,0.071428571,0.277777778,0.111111111,1,1,0,3
38,0.193052772,0,0.6,1,0.842105263,1,0.14516129,0.222222222,0.058333333,0.714285714,0.85,0.177040816,0.153538051,0.963416081,0.071428571,0.055555556,0,1,0,1,2
39,0.039412158,0,0,1,0.789473684,0,0.774193548,0.222222222,0.658333333,0.142857143,1,0.73877551,0.742990654,0.023778637,0.928571429,0.666666667,0.5,1,1,0,2
40,0.565130261,0,0.96,0,0.263157895,0,0.677419355,0.555555556,0.433333333,0,0.7,0.221428571,0.311748999,0.331765787,0.928571429,0.111111111,0.5,1,0,1,2
41,0.764863059,1,0.72,0,0.421052632,1,0.629032258,0.111111111,0.875,0.142857143,0.5,0.880102041,0.955941255,1.120176008,0.928571429,0.555555556,0.944444444,1,1,0,3
42,0.502338009,1,0,1,0.263157895,1,0.048387097,0.111111111,0.6,0.142857143,0.95,0.349489796,0.142857143,-0.227037246,0.714285714,0,0.111111111,1,1,0,1
43,0.771543086,0,0.2,0,0.263157895,1,0.516129032,0,0.716666667,0.285714286,0.35,0.448979592,0.638184246,-0.456644434,0.714285714,0.666666667,0.666666667,1,1,0,1
44,0.463593854,1,0.92,0,0.052631579,1,0.290322581,0.777777778,0.25,0.142857143,0.7,0.806122449,0.769025367,-1.494026303,0.285714286,0.166666667,0.555555556,1,1,0,0
45,0.676686707,0,0.96,0,0,0,0.403225806,0.111111111,0.316666667,0.285714286,0.05,0.094897959,0.874499332,-0.896494346,0.214285714,0.166666667,1,0,1,1,1
46,0.816299265,1,0.24,1,0.052631579,0,0.64516129,1,0.7,1,0.7,0.103061224,0.861815754,1.348861078,0.357142857,0.277777778,0.055555556,1,0,0,3
47,0.369405478,1,0.52,1,0.157894737,1,0.612903226,0.777777778,0.966666667,0.857142857,0.5,0.01377551,0.182910547,0.15840775,0.785714286,0.666666667,0.555555556,1,0,1,1
48,0.051436206,1,0.84,1,0.105263158,1,0.887096774,0.111111111,0.683333333,1,0.4,0.522959184,0.622830441,-0.787684515,0.714285714,0.166666667,0.166666667,1,0,1,0
49,0.063460254,0,0.64,1,0.473684211,0,1,0.777777778,0.258333333,1,0.75,0.451530612,0.903871829,1.027042169,0.785714286,0.722222222,0.444444444,0,0,0,3
50,0.698730795,1,1,1,0.105263158,1,0.193548387,0.666666667,0.983333333,0.285714286,0.95,0.531632653,0.889185581,-0.06013403,0,0,0.722222222,1,0,1,2
51,0.841015364,0,0.36,1,0.263157895,0,0.983870968,0.777777778,0.391666667,1,0.95,0.705102041,0.589452603,-0.065666733,1,0.666666667,0.777777778,0,1,0,2
52,0.770207081,1,0.4,1,0,1,0.661290323,0.222222222,0.241666667,0.142857143,0,0.278571429,0.08611482,0.9108554,0.5,0.277777778,0.444444444,1,1,0,3
53,0.638610554,0,0.56,1,0.052631579,1,0.225806452,0.222222222,0.183333333,0.285714286,0.5,0.516836735,0.525367156,-0.630924588,0.857142857,0.444444444,0.555555556,1,0,1,1
54,0.382097528,1,0,1,0,0,0.790322581,0.444444444,0.541666667,0.857142857,0,0.352040816,0.20293725,0.722743488,0.071428571,0,0.888888889,0,1,0,2
55,0.958583834,0,0.64,1,0.526315789,1,0.709677419,0.555555556,0.2,0.285714286,1,0.340306122,0.357810414,0.394469758,0.642857143,0.388888889,0.611111111,1,0,0,2
56,0.21509686,1,0.88,1,0.684210526,0,0.935483871,0.444444444,0.566666667,1,0.95,0.419387755,0.633511348,-1.124257299,0.642857143,0.611111111,0.833333333,1,1,1,0
57,0.324649299,0,0.32,1,0,1,0.951612903,0.333333333,0.225,0.285714286,0.45,0.296428571,0.213618158,1.695577152,0.285714286,0.222222222,1,1,0,1,3
58,0.839011356,0,0,0,0.421052632,0,0.758064516,0.444444444,0.833333333,0.714285714,0.7,0.135204082,0.142189586,-0.062900382,0.142857143,0.277777778,0.111111111,0,0,0,1
59,0.375417502,0,0.36,1,0.105263158,1,0.741935484,1,0.4,0.571428571,0.2,0.064795918,0.122162884,0.724587722,0.714285714,0.722222222,0.388888889,1,1,1,2
60,0.656646627,0,1,0,0.157894737,0,0.161290323,0.555555556,0.45,0.285714286,0.25,0.467346939,0.313084112,-0.615248595,0.642857143,0.222222222,1,1,1,0,1
61,0.199064796,1,0.72,0,0.052631579,1,0.983870968,0.777777778,0.533333333,1,0.3,0.184183673,0.317089453,-1.56134086,0.714285714,0.333333333,0.222222222,1,1,1,0
62,0.43754175,1,0.28,1,0,1,0.774193548,0.777777778,0.658333333,0.142857143,0,0.164285714,0.031375167,-1.525378289,0.142857143,0,0.722222222,1,1,0,0
63,0.814295257,0,0.6,0,0.789473684,1,0.85483871,0.444444444,0.733333333,0.142857143,0.9,0.384183673,0.569425901,0.021934402,0.642857143,0.111111111,0.166666667,1,1,1,2
64,0.134268537,0,0.84,1,0.105263158,1,0.112903226,0.666666667,0.508333333,0.285714286,0.15,0.257142857,0.714285714,0.766082997,0.357142857,0.222222222,0.944444444,1,0,0,2
