,Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C),Date Year,Date Month,Date Day,Date DayOfWeek
0,1989-05-11,0.07967425256581884,0.440149878006274,0.75,0.03333333333333333,0.07422852376980817,0.22972972972972974,-2.2962962965135807,1989,5,11,3
1,1989-05-18,0.07967425256581884,0.794701986754967,0.75,0.022222222222222223,0.04920767306088406,0.2364864864864865,0.2555555553162962,1989,5,18,3
2,1989-05-25,0.07967425256581884,0.440149878006274,0.8020833333333334,0.044444444444444446,0.0658882402001668,0.31081081081081086,0.5555555552962962,1989,5,25,3
3,1989-06-01,0.07967425256581884,0.794701986754967,0.8020833333333334,0.044444444444444446,0.07422852376980817,0.3445945945945946,0.8222222219451851,1989,6,1,3
4,1989-07-11,0.07967425256581884,0.440149878006274,0.8541666666666667,0.03333333333333333,0.07422852376980817,0.38513513513513514,0.7555555552829628,1989,7,11,1
5,1989-07-20,0.07967425256581884,0.10596026490066227,0.90625,0.03333333333333333,0.07422852376980817,0.40540540540540543,1.055555555262963,1989,7,20,3
6,1989-07-27,0.07967425256581884,0.41059602649006627,0.90625,0.03333333333333333,0.0658882402001668,0.3648648648648649,0.6888888886207406,1989,7,27,3
7,1989-08-03,0.07967425256581884,0.3841059602649007,0.9583333333333334,0.022222222222222223,0.05754795663052543,0.33783783783783783,0.7555555552829628,1989,8,3,3
8,1989-08-10,0.07967425256581884,0.21192052980132453,0.90625,0.022222222222222223,0.024186822351959965,0.29054054054054057,0.3888888886407406,1989,8,10,3
9,1989-08-17,0.07967425256581884,0.48344370860927155,0.90625,0.022222222222222223,0.0658882402001668,0.3783783783783784,0.8222222219451851,1989,8,17,3
10,1989-08-31,0.07967425256581884,0.47019867549668876,0.90625,0.022222222222222223,0.0658882402001668,0.3783783783783784,0.7555555552829628,1989,8,31,3
11,1989-09-14,0.07967425256581884,0.3973509933774835,0.75,0.03333333333333333,0.07422852376980817,0.35135135135135137,0.6222222219585184,1989,9,14,3
12,1989-10-25,0.07967425256581884,0.5165562913907285,0.8541666666666667,0.022222222222222223,0.040867389491242696,0.20270270270270271,0.15555555532296286,1989,10,25,2
13,1989-10-31,0.07967425256581884,0.440149878006274,0.75,0.022222222222222223,0.05754795663052543,0.29054054054054057,0.3555555553096295,1989,10,31,1
14,1989-11-20,0.07967425256581884,0.440149878006274,0.8020833333333334,0.022222222222222223,0.08256880733944953,0.11486486486486487,-0.17777777798814826,1989,11,20,0
15,1989-11-27,0.07967425256581884,0.6821192052980134,0.75,0.022222222222222223,0.04920767306088406,0.12162162162162163,-0.8444444446103705,1989,11,27,0
16,1989-12-11,0.07967425256581884,0.6754966887417219,0.6979166666666667,0.022222222222222223,0.03252710592160133,0.04054054054054054,-0.9111111112725927,1989,12,11,0
17,1990-01-03,0.07967425256581884,0.7880794701986756,0.75,0.022222222222222223,0.04920767306088406,0.04054054054054054,-0.7777777779481483,1990,1,3,2
18,1990-01-08,0.07967425256581884,0.7152317880794703,0.75,0.022222222222222223,0.03252710592160133,0.0945945945945946,-0.6111111112925927,1990,1,8,0
19,1990-01-22,0.1111111111111111,0.6423841059602649,0.75,0.016666666666666666,0.05337781484570475,0.13513513513513514,-0.31111111131259267,1990,1,22,0
20,1990-01-30,0.07967425256581884,0.7152317880794703,0.75,0.022222222222222223,0.05754795663052543,0.12162162162162163,-0.24444444465037046,1990,1,30,1
21,1990-02-07,0.37777777777777777,0.7152317880794703,0.75,0.022222222222222223,0.04920767306088406,0.13513513513513514,-0.44444444463703714,1990,2,7,2
22,1990-02-12,0.35555555555555557,0.7019867549668874,0.6979166666666667,0.022222222222222223,0.05754795663052543,0.13513513513513514,-0.5111111112992593,1990,2,12,0
23,1990-02-20,0.4666666666666667,0.7682119205298014,0.75,0.016666666666666666,0.03169307756463719,0.06756756756756757,-0.7777777779481483,1990,2,20,1
24,1990-02-27,0.31111111111111106,0.913907284768212,0.6979166666666667,0.05555555555555555,0.12427022518765637,0.033783783783783786,-1.0444444445970371,1990,2,27,1
25,1990-03-05,0.3222222222222222,0.7682119205298014,0.6979166666666667,0.022222222222222223,0.03252710592160133,0.0945945945945946,-0.5444444446303704,1990,3,5,0
26,1990-03-12,0.3222222222222222,0.5960264900662252,0.6979166666666667,0.016666666666666666,0.05671392827356129,0.22972972972972974,0.2888888886474073,1990,3,12,0
27,1990-03-19,0.31111111111111106,0.5165562913907285,0.6979166666666667,0.024444444444444442,0.07589658048373644,0.20270270270270271,-0.17777777798814826,1990,3,19,0
28,1990-03-26,0.3333333333333333,0.7152317880794703,0.6979166666666667,0.027777777777777776,0.03252710592160133,0.1283783783783784,-0.5111111112992593,1990,3,26,0
29,1990-04-02,0.19999999999999998,0.6357615894039735,0.8020833333333334,0.016666666666666666,0.05754795663052543,0.06756756756756757,-0.11111111132592602,1990,4,2,0
30,1990-04-09,0.4555555555555555,0.7152317880794703,0.6979166666666667,0.027777777777777776,0.06422018348623852,0.14864864864864866,-0.31111111131259267,1990,4,9,0
31,1990-04-16,0.2777777777777778,0.6423841059602649,0.6979166666666667,0.027777777777777776,0.0592160133444537,0.20270270270270271,-0.17777777798814826,1990,4,16,0
32,1990-04-23,0.31111111111111106,0.7086092715231788,0.6979166666666667,0.027777777777777776,0.04837364470391992,0.20270270270270271,-0.11111111132592602,1990,4,23,0
33,1990-04-30,0.35555555555555557,0.6622516556291391,0.6979166666666667,0.09777777777777777,0.10758965804837364,0.24324324324324326,-0.0444444446637038,1990,4,30,0
34,1990-05-07,0.5,0.5894039735099339,0.6979166666666667,0.027777777777777776,0.06171809841534612,0.22972972972972974,0.08888888866074064,1990,5,7,0
35,1990-05-14,0.4111111111111111,0.5562913907284769,0.6979166666666667,0.035555555555555556,0.08256880733944953,0.2702702702702703,0.15555555532296286,1990,5,14,0
36,1990-05-21,0.3222222222222222,0.440149878006274,0.6979166666666667,0.027777777777777776,0.08173477898248539,0.2972972972972973,0.5222222219651851,1990,5,21,0
37,1990-05-29,0.23333333333333334,0.5894039735099339,0.6979166666666667,0.041666666666666664,0.07839866555462885,0.2567567567567568,0.2222222219851851,1990,5,29,1
38,1990-06-04,0.38888888888888884,0.456953642384106,0.6979166666666667,0.044444444444444446,0.10091743119266054,0.32432432432432434,0.5555555552962962,1990,6,4,0
39,1990-06-11,0.35555555555555557,0.52317880794702,0.6979166666666667,0.03888888888888888,0.06171809841534612,0.32432432432432434,0.3555555553096295,1990,6,11,0
40,1990-06-16,0.35555555555555557,0.5099337748344371,0.6979166666666667,0.035555555555555556,0.050875729774812334,0.3175675675675676,0.2222222219851851,1990,6,16,5
41,1990-06-24,0.42222222222222217,0.52317880794702,0.6979166666666667,0.03888888888888888,0.0750625521267723,0.35135135135135137,0.6222222219585184,1990,6,24,6
42,1990-07-02,0.4111111111111111,0.5165562913907285,0.6979166666666667,0.03888888888888888,0.06422018348623852,0.32432432432432434,0.4555555553029629,1990,7,2,0
43,1990-07-09,0.4666666666666667,0.49668874172185434,0.75,0.03333333333333333,0.06755629691409507,0.35135135135135137,0.6555555552896295,1990,7,9,0
44,1990-07-16,0.4333333333333333,0.49668874172185434,0.6979166666666667,0.041666666666666664,0.10341951626355295,0.3581081081081081,-2.2962962965135807,1990,7,16,0
45,1990-07-26,0.4666666666666667,0.456953642384106,0.7760416666666667,0.041666666666666664,0.039199332777314425,0.3648648648648649,0.6222222219585184,1990,7,26,3
46,1990-08-06,0.4666666666666667,0.5099337748344371,0.8020833333333334,0.044444444444444446,0.08090075062552125,0.35135135135135137,0.6222222219585184,1990,8,6,0
47,1990-08-13,0.4666666666666667,0.5165562913907285,0.8020833333333334,0.03888888888888888,0.06755629691409507,0.3648648648648649,0.6888888886207406,1990,8,13,0
48,1990-08-27,0.4666666666666667,0.5894039735099339,0.8020833333333334,0.03888888888888888,0.07756463719766471,0.3648648648648649,0.788888888614074,1990,8,27,0
49,1990-09-04,0.3222222222222222,0.5364238410596026,0.8020833333333334,0.027777777777777776,0.05587989991659716,0.31081081081081086,0.488888888634074,1990,9,4,1
50,1990-09-17,0.26666666666666666,0.5827814569536425,0.8020833333333334,0.027777777777777776,0.06422018348623852,0.28378378378378377,0.08888888866074064,1990,9,17,0
51,1990-10-15,0.38888888888888884,0.543046357615894,0.8020833333333334,0.03333333333333333,0.07673060884070058,0.31081081081081086,0.3555555553096295,1990,10,15,0
52,1990-10-29,0.07777777777777777,0.8278145695364238,0.8020833333333334,0.011111111111111112,0.030859049207673062,0.12162162162162163,-0.44444444463703714,1990,10,29,0
53,1990-12-17,0.05555555555555555,0.7317880794701987,0.75,0.027777777777777776,0.04920767306088406,0.10810810810810811,-0.5777777779614816,1990,12,17,0
54,1991-01-03,0.05555555555555555,0.7880794701986756,0.75,0.027777777777777776,0.06422018348623852,0.12162162162162163,-0.37777777797481493,1991,1,3,3
55,1991-01-07,0.07777777777777777,0.7814569536423842,0.8020833333333334,0.022222222222222223,0.03169307756463719,0.12162162162162163,-0.5777777779614816,1991,1,7,0
56,1991-01-14,0.044444444444444446,0.8079470198675497,0.8020833333333334,0.022222222222222223,0.05337781484570475,0.060810810810810814,-0.8444444446103705,1991,1,14,0
57,1991-01-24,0.05555555555555555,0.8741721854304636,0.75,0.022222222222222223,0.05337781484570475,0.060810810810810814,-0.8111111112792594,1991,1,24,3
